Discount %,New Price (£),Demand Change %,Revenue Change %,Good Idea?
0,2.39,0.0,0.0,No ❌
5,2.27,3.6,-1.6,No ❌
10,2.15,7.5,-3.3,No ❌
15,2.03,11.8,-5.0,No ❌
20,1.91,16.5,-6.8,No ❌
25,1.79,21.8,-8.7,No ❌
30,1.67,27.7,-10.6,No ❌
